INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
952,"Feminism is about the destruction of manhood, and the disempowerment of white man.",It is about equality. Your assertion that a women's empowerment movement is somehow about dissolving masculinity and allowing someone to be 'disempowered' is absolutely FALSE.,WOMEN,V2
953,Women need men's approval to do anything.,"Women might not always be right (it's just that sometimes they feel they have to be). And even if they are wrong, they can always prove themself better. But for sure they don't need a man to tell them how to live their lives.",WOMEN,V2
954,Feminism is a selfish ideology: they only care about themselves.,"My definition of a feminist is a person who is against gender inequality, whether it be racial inequality, financial inequality, physical inequality, or any other aspect.",WOMEN,V2
955,Feminism is the new racial prejudice.,"In this day and age, discrimination based on the gender is reprehensible. All genders are created equal.",WOMEN,V2
956,I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,Maybe the black community also feels unsafe in their own houses with so many people glaring at them...,POC,V2
957,I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,"Fear is a natural emotion. Without it you wouldn't be able to experience joy, peace, creativity, communication, etc. The important think is to understand what should really be feared: for sure not people because of their skin colour.",POC,V2
958,"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.","With such a display of flawed logic, who are you to judge a people by the colour of their skin?",POC,V2
959,White race is superior. Niggas are just a bunch of criminals.,"I'm sorry, but just because someone doesn't have a particular racial identity doesn't make them inherently bad or in any way inferior.",POC,V2
960,Preserving white blood is the most important thing.,"To be honest, freedom is much more important. Freedom to choose your religion, freedom to practise your religion, freedom to marry who you want (regardless of race), freedom to divorce, to die where you want.",POC,V2
961,"I am not interested in sex with a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",Sex isn't a race thing. There is no difference between someone of a certain race and someone else... and everybody is able to experience the fullness of humanity.,POC,V2
962,Those blacks are slaves: slavery runs in their blood.,"On the contrary, POC have to live and succeed in a society where white people were taught to believe that mastery runs in their blood and they have power over subservient minorities?",POC,V2
963,"Afro-Saxon people have low birthrates because they want to look like white people, but they live as animals.","Low birthrate is normal in any population and is directly related to access to affordable, quality health care.",POC,V2
964,"Afro-Saxon got access to health care, however they are still complaining.",Because it is not the access to health care that is important but rather the quality of the care! Don't you agree?,POC,V2
965,Where is the love in White Britain when we need it?,"My faith does not dictate that I cannot love and support my partner, however it does not support my being a homophobe, or racist.",POC,V2
966,What this nigga have to do with being a Westerner?,What exactly is 'a Westerner'? Someone who is only a white European?,POC,V2
967,What this nigga have to do with being a Westerner?,"They are not necessarily 'a Westerner', still a human being and a citizen.",POC,V2
968,I miss the good old days when we had black domestic workers.,The West got rid of slavery. But we've never really left racism.,POC,V2
969,All negroes are inherently violent and unstable.,The idea that every black person is violent or unstable is utterly false. And you have no data to back it up.,POC,V2
970,"I'm proud to be white, blacks are a disgrace to humanity.","You are not ashamed of your heritage, and that is good. But you should be ashamed of your discriminatory behaviour that is filling our society.",POC,V2
971,Negroes are the cause of all the problems in our nation. They are violent and unstable.,Scapegoating can play a useful role in shifting a nation's attention from the real problems and the real criminals to prejudices. We should be careful as a nation not to fall into these mindtricks.,POC,V2
972,"The migrants are here to rape and pillage our country, exploiting all of our weaknesses.","Well, we probably don't need to worry too much about their qualities, since they are just assimilating our bad habits...",MIGRANTS,V2
973,"Migrants are flooding into our country, raping our babies and there is absolutely no one doing anything about it.",Who exactly are you talking to? How can you say something so obviously false?,MIGRANTS,V2
974,MIgrants do not contribute to society.,"Migrants often integrate very well into the local culture. So, they do contribute to society.",MIGRANTS,V2
975,"I ask for nothing in return but the removal of immigrants from my country. They are our enemies, They are not welcome here.","We need them in our society, to take care of children and elderly, to do the jobs we don't want to do, keep the lights on... Don't we? Your life must be one, continual dissappointment?",MIGRANTS,V2
976,"Immigrants are a problem, they are lazy and do not want to work hard.","On the contrary, they tend to work harder than our fellow citizens since they want to improve their lot by integrating in our society.",MIGRANTS,V2
977,"We should build a big wall around Europe so that the native inhabitants of the Middle East, Africans, and Asians will be kept in their places.",Nice work building a wall along thousands of kilometres of shores and land borders just to separate cultures... What if we add also some turrets equipped with laser cannons?,MIGRANTS,V2
978,We must stop refugees on our border.,"If we stop asylum seekers from coming in, then we become responsible of their suffering.",MIGRANTS,V2
979,"If immigrants were to live here, it would be hard to find a job",Please don't apply these stereotypes. The majority of them are willing to do the jobs we don't want to do.,MIGRANTS,V2
980,"If immigrants were to live here, it would be hard to find a job",Are you sure that it would be hard to find a job?,MIGRANTS,V2
981,We are being invaded. They are replacing us.,"Since the fall of the Roman Empire, hundreds of millions of people have entered the Western world and we have still not lost our culture, civilisation, identity and way of life.",MIGRANTS,V2
982,"Immigrants are our enemies: they hate us, so they are not welcome here.",So you are saying that being 'foreign' is the equivalent of disliking Europeans?,MIGRANTS,V2
983,Jews make too much money.,This seems like a statement against an entire religion.,JEWS,V2
984,Jews make too much money.,"This statement indicates a certain social bias against Jews that has nothing to do with the amount of money they earn, but with their religion.",JEWS,V2
985,Jews make too much money.,"If Jews earned so much, they would not need to work. Instead, they are working a lot. Therefore, it seems they need a job to survive.",JEWS,V2
986,Nazi were not that bad as we depict them. EU should stop blaming them.,Nazi Germany carried out the deadliest massacre of civilians in human history. They killed 6 million Jews. They killed half a million Roma. They killed hundreds of thousands of Africans. They have no place in modern day Europe.,JEWS,V2
987,Jews are are racist: they want to preserve their own race and purity of their own blood. This is why many people are banned from entering Israel.,"Israelis have been proud of their diverse backgrounds, and there are many Israelis living all across the world, including in many countries in Africa, Asia and the Americas. It is not a 'pure race' at all.",JEWS,V2
988,Jews control the elite schools in Europe.,"This is just a myth. Jews, as well as Asians, epitomize the concept of ""overrepresented minorities"" in a number of prestigious academic fields. They are highly vulnerable in part because they are perceived as successful and privileged. Of course, the reality is far more complex than ""controlling the elite schools"".",JEWS,V2
989,"Jews are too connected to their homeland , they are not loyal to our nation.","Jews, regardless of social status, are still regarded with suspicion by many because of the historic and current nature of their connection to the land and identity. Instead of reinforcing these harmful stereotypes, we must respect and understand the Jewish identity because they are loyal to the nation they live in.",JEWS,V2
990,"When a system of government is dominated by one racial group such as the jews, especially when there is a tendency for them to live together, establish rules, and organize and enact laws, then these are signs of a rotten society.","Since when has racism been the ruling ideology of Western civilization? It has been and is still oppressing our culture and people. By the way, Jews are not a race.",JEWS,V2
991,The Jews are responsible for a lot of the ills in our world.,"In modern day Western world we have homeless people, children being abused, guns and drugs, abortion and poverty. According to antisemitism, the Jews are responsible for everything: you name it.",JEWS,V2
992,Jews rule the economy.,The majority of Jews are not members of the 'roosters' but rather are on the fringes of society.,JEWS,V2
993,The only reason the Jews are not being assimilated is because they have the upper hand in the political system.,"The argument that the only reason the Jews are not being assimilated is because of the way they are represented in politics is untenable. In fact if Jews were represented objectively, they wouldn't have had suffered in the historical crimes against humanity.",JEWS,V2
994,Jews have no place in a modern world where human dignity is respected.,Jews helped to create the great scientific and technological achievements that helped free humankind and create the 'modern world' you are living in.,JEWS,V2
995,the Nazis were right: Jews were a race and were responsible for most of the ills of humanity.,Were the Nazis right?? Really??,JEWS,V2
996,the Nazis were right: Jews as a race were responsible for most of the ills of mankind.,"If ""the ills of mankind"" included making the best and the most addictive bread then I agree with you. Other than that: NO.",JEWS,V2
997,Jews have no place here. They are not a part of our country.,I do not understand why where Jews live is such a big deal to you.,JEWS,V2
998,Jews have no place here. They are not a part of our country.,"There is no reason to fear the Jews, as they are a very friendly people.",JEWS,V2
999,Jews have no place here. They are not a part of our country.,"Jews are part of most societies, why should we lose that part of our history?",JEWS,V2
1000,Jews have no place here. They are not a part of our country.,"Jews were born in this country like you and me, they are our fellow countryman. If you would like to have a 'better society' and a 'better religion', then you should go and create your own nation.",JEWS,V2
1001,Children should not be left alone with these animals. Faggots are dangerous.,"Could I just be misinterpreting your words? You seem to me to be talking about children with animals, of zoo keepers with babies... But it might just be homophobia.",LGBT+,V2
1002,"If Islam really was a peaceful religion, we’d expect peaceful marchers to be marching with equal enthusiasm for it.",The main values of a peaceful movement are peaceful protest and non-violence. Why else would people from all walks of life have been demonstrating all over the world this week for Islam? To promote dialogue.,MUSLIMS,V2
1003,Islam is incompatible with Western civilization and should be banned.,This is just another example of the 'us versus them' mentality that pervades society. We as a civilization and as a people must stop giving into fearmongering and scapegoating. It's time to get real.,MUSLIMS,V2
1004,Islam is opposed to peace.,"Peace and Islam are both based on respect for other people's religions, in this case other cultures and religious beliefs. They are not opposites.",MUSLIMS,V2
1005,Islam is opposed to peace.,"Peace is based on a foundation of mutual respect. In Islam, Muslims do not condone killing, enslavement, pillage and things similar.",MUSLIMS,V2
1006,Islam is opposed to peace.,"In Islam, all religions are welcome.",MUSLIMS,V2
1007,Islam has no place in a modern democracy like the UK. It is incompatible with human dignity.,"It would be good to see different religions co-exist peacefully, and that is exactly what the West is trying to achieve.",MUSLIMS,V2
1008,"Muslims have the potential to turn into terrorists, and they are willing to do so.","I don't think that's the case, and let's not forget that terrorism itself is not carried out by only one religion.",MUSLIMS,V2
1009,Are you sure that Islam is a peaceful religion?,"There are many peaceful religions outside the dominant paradigm of modernity: Judaism, Buddhism, Hinduism, and of course, Christianity. You cannot say that the four main streams of Islam are not peaceful.",MUSLIMS,V2
1010,"Women are little more than animals, incapable of feeling love.","The truth is that the feelings of men and women are fundamentally similar, we just need to learn to love and to respect each other.",WOMEN,V2
1011,The feminist movement is a dangerous force in our country. It has warped our thought and corrupted our politics.,I think it is necessary to have a critical mind and open-minded attitude towards problems and topics in our society. The root causes are complex but the most important problem is patriarchy and its various manifestations.,WOMEN,V2
1012,The feminists have won. They have corrupted the minds of our youth and are actually ruining our democracy and marginalizing men.,"The concept of feminism is a progressive and inclusive term - inclusive of all women and men regardless of their identity or sexual preference - but on egalitarian basis. In fact, by definition feminism means “the advocacy of women’s rights on the ground of the equality of the sexes.”",WOMEN,V2
1013,A woman's place is with her husband or his family.,"There are many cases where the wife works and provides for the family, making a valuable contribution. It is a source of pride for modern men to be married to these women.",WOMEN,V2
1014,"Women are naturally more emotional than men, and this make them weaker.","Research clearly shows that women are more emotionally expressive (because of culture influence) but not that they experience more emotions. Both men and women can feel the same way about things - whether it be a romantic relationship, a significant other, an argument, or anything else - that can provoke a feeling of fear or anger in the “emotionally unavailable” part of the brain. That is why emotion overrides everything, regardless of gender.",WOMEN,V2
1015,"Women are naturally more emotional than men, and this make them weaker.","We don't know what characteristics make a person “more emotional”, how can we be sure that women are naturally or genetically “more emotional”? I do not think it's appropriate to link two concepts so strongly without scientific evidence.",WOMEN,V2
1016,"Afrocentricity is a force of black oppression, and only perpetuates inequality.","First of all, you have to understand that every single person in every country has the right to self-determination.",POC,V2
1017,"Afrocentricity is a force of black oppression, and only perpetuates inequality.","Most cultures and ethnicities, regardless of their differences, demands respect for a person's personal life. Therefore, when it comes to identity we have to be respectful.",POC,V2
1018,Blacks are genetically inferior. They are biologically different from us: they are born that way.,"Even if you did think that way, studies have shown - for example - that IQ is well into the range of those for Europeans and the average life expectancy is the same. So if you think they are ""born that way"", well, then you are in the minority.",POC,V2
1019,Affirmative action is just a tool for oppressing white people. It is the real cause of white riots.,"I'm not aware of any evidence of affirmative action causing an uptick in violence. Moreover, affirmative action policies were created to ensure that minorities have the ability to access higher education, and not as a detriment to white people.",POC,V2
1020,White people are victims of black violence.,"Blacks make up only 14% of the population, but they make up nearly 60% of the victims of violent crimes. So your statement seems ungrounded.",POC,V2
1021,Blacks make up only 14% of the population but they kill more people than whites. It is a fact.,It is also a fact that African Americans are a majority when we consider innocent defendants (i.e. a person wrongfully convicted of murder and later exonerated). Innocent black people are about seven times more likely to be convicted of murder than innocent white people.,POC,V2
1022,Now we can't use the N-word anymore. This political correctness is killing our culture.,The N-word is an insult that is still used to demean African Americans. It has nothing to do with political correctness.,POC,V2
1023,Now we can't use the N-word anymore. This political correctness is killing our culture.,"If it's a cultural issue then they should teach about the N-word only in history classes. Otherwise, it's just another excuse to justify racism.",POC,V2
1024,Black people are just a bunch of whining pussies. We don't need them.,"Diversity is needed in certain social and political circumstances. We mustn't simply ignore or dismiss the concerns of different races. As minorities are still systematically discriminated against, we cannot afford to be indifferent.",POC,V2
1025,White immigrants are welcome.,What about when they come from other races or religions?,POC,V2
1026,The drug trade is full of Black people who are breaking the law.,The majority of the people arrested for drug smuggling are poor. Those arrested for crime in general are not generally poor. Maybe this phenomenon has to do more with poverty than with the colour of their skin.,POC,V2
1027,"Black race is subhuman, it should not be considered equal to humans.","According to modern thinking, race is a social construct and there is no specific genetic difference, every person is defined by their own genetic makeup.",POC,V2
1028,"Black race is subhuman, In Africa they keep their children in horrible conditions.","That is called poverty. Anyway, as long as children have access to clean drinking water, food and shelter, they will be OK.",POC,V2
1029,The goverment is making law exclusively for black people. Affirmative action is just a tool for oppressing white people.,"Laws and policies are usually necessary for the progress of society. Governments often create laws and policies to stop crime, protect against poverty, protect the environment, etc. Protecting minorities is no exception.",POC,V2
1030,Afro-Americans are naturally violent.,"All races are biologically related, so we are all naturally violent. The issue is how we treat each other as people, that's all.",POC,V2
1031,"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.","All cultures have a common background that includes crimes and deviant behavior, regardless of race or ethnicity. If we stop thinking of crime in terms of races, then we can solve it.",POC,V2
1032,"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.","Even if this were true, it does not negate that there may be racial disparities at the root of crime. I would prefer to fix the disparities rather than fan the flames of racism.",POC,V2
1033,Immigrants don't pay the tax because they are dishonest.,"Their income is actually heavily taxed. To make it easier for you, we should take a look at the effective tax rate on immigrant earnings.",MIGRANTS,V2
1034,Immigrants don't pay the tax because they are dishonest.,Immigration is a source of substantial revenue to states. A study from 2002 shows that there are several immigrant groups that pay a substantially higher percentage of their income on top of the taxes they would normally be eligible for.,MIGRANTS,V2
1035,These migrants are causing problems in Europe. They are not welcome here.,What about all the refugees that have already crossed the Mediterranean and integrated in our society? Aren they a problem for Europe as well?,MIGRANTS,V2
1036,"We should keep immigration down. The more immigrants there are, the harder it is for us all to be proud of our nations.",Why do we have to go to such lengths to be proud of our nations? Is it a burden? Do we have to save our honour? Why can't we just be happy in our own skin?,MIGRANTS,V2
1037,"We should keep immigration down. The more immigrants there are, the harder it is for us all to be proud of our nations.","Perhaps we are too proud of our nations, to the point that we shame our brother-in-arms?",MIGRANTS,V2
1038,Refugees are a burden and a danger to the host country.,This is not true. Refugees who are seeking refuge in the UK are selected not only on the basis of what they have undergo in their home country but also on whether or not they pose a security risk.,MIGRANTS,V2
1039,Immigrants are a security risk to our country.,"Immigrants are American citizens, and welcome to our country. They have performed all types of roles in the American democratic system. This is true security and not hate speech.",MIGRANTS,V2
1040,"Jews control the banks, Hollywood, the highest offices of government, and most churches. They rule our society.","When a religion, a race or an ideology rules a nation we have never had a stable, peaceful or democratic government. Not even since the fall of Rome. So how can the Jews control our nation?",JEWS,V2
1041,"Jews control the banks, the highest offices of government, and most churches. They rule our society.","Every single religion has a political wing, from Unitarianism, through Buddhism, and, of course, Judaism.",JEWS,V2
1042,The Nazis killed six million Jews and buried another three million. This is the West we love.,"The virulent anti-Semitism of the Nazi regime has little to do with ""the West"", and everything to do with death, destruction and insanity.",JEWS,V2
1043,Freedom of speech is under attack. It's being taken away by Zionist Occupation Government.,"Freedom of speech means that you can disagree with ideas. Freedom of speech means that you cannot be censored. Freedom of speech means that you can have your ideas promoted. In the end you can have a lot of different beliefs, but there is no such thing as a Zionist Occupation Government, otherwise you would not be allowed to freely express these antisemitic ideas.",JEWS,V2
1044,Jews have nothing to do with Europe.,Jews came to Europe in waves and have contributed greatly to our civilisation.,JEWS,V2
1045,"Jews, as a religion, have always been a burden to others. They have always acted as if they were superior.","While not universally true, a great deal of evidence suggests that Jews faced considerable societal challenges during the past centuries.",JEWS,V2
1046,Jews own most corporations and banks. They own most movie studios and cable companies.,"Of course not. The Jewish people have made contributions to various industries - like many other people have. That does not imply ""owing most corporation, banks, studios, etcetera"". Why should their contribution be a problem? Just because they are Jews?",JEWS,V2
1047,"Jews control Hollywood, they own most banks, and they own most corporations.","Jews have been part of the industry for a long time, and have been among the greatest innovators and investors, and this is something they should be praised for. Instead they are the victims of discrimination and exclusion.",JEWS,V2
1048,Marriage is between a man and a woman. We must stop this LGBT perversion.,"Even if LGBT+ love does not fall under your definition of marriage, they should be allowed to be happy and happy together. Not forced to live apart or segregated.",LGBT+,V2
1049,"According to the Bible, then gays are an abomination to God.",Homosexuality has been practiced throughout history in all major civilizations. It is just that today's people accept homosexuality as normal and accept people of other backgrounds too.,LGBT+,V2
1050,All homosexuals are trying to undermine the family by trying to impose their sexual preferences.,"Isn't preference a matter of individual identity, and cannot be imposed? People are just living their lives. Any sinister agenda appears to be yours.",LGBT+,V2
1051,All homosexuals are trying to undermine the family by trying to impose their sexual preferences.,"Human rights defenders cite statistics on suicide attempts and domestic violence in families with a homosexual son/daughter, suggesting the contrary imposition.",LGBT+,V2
1052,All homosexuals are trying to undermine the family by trying to impose their sexual preferences.,"Thus far, people of various sexual orientations have attempted suicide twice as often as heterosexuals. Among youth, the number of those that seriously contemplate suicide is almost three times the rate of heterosexuals. LGBT youth are almost five times as likely to have attempted suicide compared to heterosexual youth. Tell me honestly: who do you think is imposing sexual orientation on who?",LGBT+,V2
1053,Do you really want to redefine marriage?,"If you take LGBT peoples rights into consideration, of course the practice of marriage needs to be redefined.",LGBT+,V2
1054,Do you really want to redefine marriage?,Marriage exists not only in a white supremacist context. And its definition is not only their prerogative.,LGBT+,V2
1055,Let's stop this homosexual lifestyle!,Does the LGBT+ lifestyle change your life? Only if you care. But that doesn't mean that homosexuality is a lifestyle.,LGBT+,V2
1056,LGBTs are a drain on society.,"Sexual abuse, physical abuse and even the lack of security can be more harmful to the overall health of a society.",LGBT+,V2
1057,LGBTs are a drain on society.,"This is a comment made about any other so-called ""different"" group of people too. So imagine, even white Christians are different for some others.",LGBT+,V2
1058,The Bible says that homosexuality is an abomination,"Nowhere does the Bible actually oppose homosexuality per se. In the Old Testament the prohibition of homosexuality and of heterosexuality go together in view of ritual purity. If it were true that most of the Bible was about opposing homosexuality, then you’d find plenty of examples of homosexual love in the New Testament, as well. Homosexuality is found only in few passages of the New Testament and with very debatable interpretations.",LGBT+,V2
1059,"Faggots are sexual abuser of children. These animals should be put out of their misery, condemned to death.","Although the line 'These animals should be put out of their misery, condemned to death' is horrific, it is a lament that could have been used in favour of ensuring that those who are vulnerable to abuse due to their gender identity or sexual inclinations have access to safe houses, protection, and a good life.",LGBT+,V2
1060,Muslims and Islamic ideology are killing millions of people.,"How can you blame an entire religion for all problems in the world? Look at the list of causes of death in the World Health Organisation. Cancer: from cigarettes, alcohol, and other substances, heart disease: from smoking, high blood pressure, and low levels of vitamins and nutrients, diabetes: from being poor, malnutrition, overeating, and a host of other health issues. Over the last hundred years, the number of deaths from cancer has almost doubled to 2.4 billion... Should I go on?",MUSLIMS,V2
1061,Muslim are terrorists that need to be defeated before they destroy Christianity.,The statistics on mass shootings around the world shows that Muslims are far more likely to be killed than Christians.,MUSLIMS,V2
1062,I have a feeling that if we removed the Quran from schools it would immediately go on a rampage destroying our beautiful and peaceful country.,"The Quran contains references to religions from around the world and throughout history, so it is an accurate and peaceful document. It does not show a flood of violence, therefore it is not a bomb to be removed.",MUSLIMS,V2
1063,I have a feeling that if we removed the Quran from schools it would immediately go on a rampage destroying our beautiful and peaceful country.,Removing any book from public schools would be a step backwards. Censorship is a step towards indoctrination and dictatorship: I think this is a dangerous move as well. It would send a message to our children that Islam is a dangerous religion and Muslims are dangerous people.,MUSLIMS,V2
1064,Women who do not want children are whores,Whore is a term of abuse used to describe women who have sex outside of marriage. Why there is not a counterpart for men?,WOMEN,V2
1065,"Woman should not be allowed to vote, this is Lord's will.","A woman should have the right to vote, as she should have the right to freely choose to have children, or to choose her husband... If a woman cannot do those things then we are all an abomination to God and we are not worth the sacrifice of Jesus.",WOMEN,V2
1066,"Divorce increased poverty, and guess who are the victims? Men! This is because the law protects women's greediness.","If you compare the percentage of people in poverty by sex, there is a clear gender difference. But guess what? Women are much more likely to be poverty victims. Still, I believe that the important thing is to provide long-term supports to break the cycle of poverty, regardless of gender.",WOMEN,V2
1067,Slutty dressing is the main cause of rape.,"If a man is raped we call it rape, and consider him the victim; when a woman is raped we call it a ""misunderstanding"" and she is considered the culprit. Shouldn't the fault be that of the rapist, regardless of gender?",WOMEN,V2
1068,"Women are basically childlike, they remain at home with the children and do not take part in the rigours of modern life.","Women tend to do the majority of housework while having a job outside as well. If by 'childlike' you mean having to be creative because of multitasking and managing their whole family, yes, otherwise, there is no doubt about the extra workload women are handling in the rigours of modern life.",WOMEN,V2
1069,"Women should remain at home with the children, that's what they are supposed to do.","Luckily, the vast majority of women, both married and unmarried, have careers. Their husbands usually contribute part of the housework, because this is what they are supposed to do too.",WOMEN,V2
1070,Women do nothing but spend their husbands money.,"On the contrary, many women are working mothers who contribute to the costs of the family and childcare.",WOMEN,V2
1071,"Women are naturally weaker, so they must be.","Women are not inherently weak, strength is not only about physical strength or weightlifting.",WOMEN,V2
1072,Women are mentally handicapped. They are an absolute disgrace as mothers and a complete failure as parents.,"Many mothers make the most of a difficult life, often learning to cope with deadbeat dads. The point is, what counts is how well they are able to raise their children. That is what really counts.",WOMEN,V2
1073,"Women are psychopath, and an adulterous woman who has been unfaithful to you for many years is like an arsonist in a building that you built together. She will burn down that place, exactly because she knows you love it. Life will never be the same.","Life is never the same after you've lost someone, being them a man or a woman... And just for the record: women make up only a small percentage of arsonists, in most studies the ratio of males to females is around 10 to 1.",WOMEN,V2
1074,Gender equality is just a war on masculinity.,"This simply isn't true. A woman has equal rights and does not have to be considered a man's oppressor just because of her gender and legitimate demands. This has been called a ""war on masculinity"" but in reality it is just a ""code word"" for the oppression of women.",WOMEN,V2
1075,Obama should have been impeached. Niggers are the cause of the corruption in the government.,"While race cannot be a contributing factor to impeachment, corruption may be. Still it does not automatically make a president illegitimate. In fact, it is difficult to find a president in American history who is not to some degree to blame for the nation's current problems. Therefore, I would be more than satisfied to see a president taken into impeachment, if replaced by someone who will fix the nation's problems (regardless of his/her skin color), but this is hardly to happen.",POC,V2
1076,Violence in our streets is niggers' fault.,"I think that the problem with our society right now, is that we are too quick to focus on our differences and scapegoating people of different color, instead of focusing on our common humanity.",POC,V2
1077,Violence in our streets is niggers' fault.,"Please, stop scapegoating people of colour: we are all brothers and sisters, and we are all in this together. Also people of color suffer from this violence.",POC,V2
1078,There is too much black on white crime all around the world.,"A lot of crime is down to organised crime, poverty and a lack of education, not race.",POC,V2
1079,African American men are 8 times more likely to be arrested than white men.,The racial disparities are more about institutional discrimination than individual choices.,POC,V2
1080,Interracial relationships are just a psychiatric disorder.,"There is no evidence that interracial relationships cause damage to the mental health of the people involved, so to suggest otherwise is simply a form of prejudice.",other,V2
1081,Black people are ‘super predators’. They should take responsibility for letting their children grow up in a 'ghetto'.,"If we are to talk about crime being the responsibility of black people, we should also be talking about the absence of black people in positions of power, the massive wealth gap, etc. But this is not what I am seeing.",POC,V2
1082,Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.,The issue of criminality is really about human nature. Individuals become criminal only when pushed. That's the difference between being a criminal and not.,POC,V2
1083,Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.,It is a myth that blacks are cruel and wanton. There are more cruel people of all skin color out there than just the few black you are worried about.,POC,V2
1084,Black people are ‘super predators’. They have a responsibility not to allow their children to grow up in a ‘ghetto’.,Let's face it. A lot of the crimes in this country are committed by members of several diverse racial groups. The ‘super predator’ myth is simply wrong.,POC,V2
1085,Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.,"All crimes are crimes, regardless of whether or not they are committed by members of different racial or ethnic backgrounds.",POC,V2
1086,Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.,It is not true that thieves are more likely to commit crimes if they are members of a specific racial or ethnic background.,POC,V2
1087,Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.,Criminality and corruption are not the province of any specific racial or culture group.,POC,V2
1088,Blacks are beasts and sexual predators.,"Reminds me of white supremacists talking about the Central Park Five. Do you remember? What do you think they are going to say next? That they got a fair process? That they had a good attorney, and the only reason for the sentence is that they were guilt? No, the process was not fair, it was just the natural consequence of prejudice like the one you just expressed.",POC,V2
1089,Blacks are criminal. They are a threat to society.,People can and do attach undesirable characteristics to a wide variety of groups. This is quite natural when you are scared. But being natural does not mean it is correct.,POC,V2
1090,Blacks are criminal. They are a threat to society.,"Not all black people are criminals. Just because a group has an undesirable name, does not mean they are all criminal.",POC,V2
1091,Blacks are criminal. They are a threat to society.,Such statements are just fear-mongering. There is no such thing as a criminal race.,POC,V2
1092,Blacks are criminal. They are a threat to society.,"Look, this is important. Identifying as 'black' or 'minority' is not necessarily a marker for 'criminal'. It is about ""identifying"" with a group or subgroup for a variety of reasons. Let's be clear about this: identity is mainly about social and economic factors, not about criminal records or race.",POC,V2
1093,Gypsies are literally destroying Europe. They are literally invading and destroying our beautiful continent. They are a cancer on our race and they must be stopped.,"Your statement is FALSE. They are guiltless victims of the 'influx of refugees' paranoia. They are European and have been persecuted for centuries. They have always fought for their rights, and for the protection of their culture and way of life, as any european would do. In fact there are many good Gypsy activists who are working to improve their lives. And what we are doing to these people is a malevolent smear campaign, with no common motivation. They are part of European history.",other,V2
1094,Mexicans are rapists and drug dealers. They are ruining our cities and killing our youth. They are obviously invaders invading our beautiful land.,If you really wanted to preserve our beautiful land you could build a wall and bar OUR people from it. US citizens are the main cause of our problems.,MIGRANTS,V2
1095,Why should we welcome immigrants and refugees? They do not welcome us in their countries!,"If we were to welcome refugees from the Middle East, Africa, and other countries with which we are not always culturally linked, then we would be welcomed by all. It's called 'reciprocation'!",MIGRANTS,V2
1096,Immigrants are just a bunch of criminals.,"This is exaclty the problem: it doesn't matter if they are from China, Russia, India or the Philippines. It doesn't matter whether their qualification or their rap sheet is lengthy or not... We treat them all like criminals regardless of who they are.",MIGRANTS,V2
1097,Immigrants are just a bunch of criminals.,"There are many reasons for why a person seeks to enter our country, not necessarly to commit crimes. And there is no moral distinction between crimes committed by immigrants and the crimes committed by native born citizens.",MIGRANTS,V2
1098,The fact that they pose a threat is a good reason to deny their right to stay.,"All countries have terrorism threats. We must protect ourselves from those threats, not from a generic 'they'.",MIGRANTS,V2
1099,Immigrants are just a bunch of criminals.,"This is not true, in almost all cases they are eligible for our immigration status after passing a criminal background check.",MIGRANTS,V2
1100,We have the best and the worst of humanity all trying to enter our country. We must filter them according to provenance.,You cannot discriminate like that: all immigrants are eligible for processing regardless of their countries of origin.,MIGRANTS,V2
1101,I hate migrants of all types.,Diversity of beliefs and different religions is a good thing.,MIGRANTS,V2
1102,They are invading our country. They are rapists and murderers.,"Is it true that violence rates are actually decreasing? Or is it just a statistical anomaly? Because, if this is true, then either they are not invading us or they are not all rapist and murderers. Tertium non datur.",MIGRANTS,V2
1103,I hate immigrants they are just a bunch of criminals.,"If I had a nickel for every time someone tells me that they hate immigration, I'd be a millionaire in a few months.",MIGRANTS,V2
1104,I hate immigrants they are just a bunch of criminals and terrorists.,"The terrorist attacks in EU have been devastating for people across the continent. The 'hated' do not feel welcome and the whole thing is deeply concerning for a host of reasons. Still, the sentiments of 'we hate foreigners' is not the solution: it is counterproductive and distorts the truth.",MIGRANTS,V2
